Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2021-06-16,Z (Dec 2021),22.3500,22.7600,22.2200,22.6700,22.55,0.1265,3422,0,7949
2021-06-17,Z (Dec 2021),22.7500,22.9100,22.2500,22.4400,22.40,-0.15,2104,0,8202
2021-06-18,Z (Dec 2021),22.4000,23.3200,22.3300,23.2000,23.1698,0.7698,3504,0,9489
2021-06-21,Z (Dec 2021),23.1500,23.5500,22.5100,22.8500,22.671,-0.4988,3190,0,9106
2021-06-22,Z (Dec 2021),22.9000,22.9500,22.3000,22.3200,22.45,-0.221,1367,0,9139
2021-06-23,Z (Dec 2021),22.3000,22.3500,22.0200,22.1500,22.25,-0.20,2370,0,9251
2021-06-24,Z (Dec 2021),22.1500,22.1500,21.8700,22.0500,22.08,-0.17,1891,0,9076
2021-06-25,Z (Dec 2021),22.0700,22.2300,21.9700,22.0000,22.0668,-0.0132,3561,0,9118
2021-06-28,Z (Dec 2021),21.9100,22.1800,21.8100,21.9800,22.0184,-0.0484,2724,0,9506
2021-06-29,Z (Dec 2021),22.0000,22.3100,21.8300,22.1600,22.2909,0.2725,2472,0,9814
2021-06-30,Z (Dec 2021),22.1500,22.5000,22.1000,22.4000,22.3785,0.0876,3959,0,10898
2021-07-01,Z (Dec 2021),22.4000,22.4300,22.2000,22.2700,22.2976,-0.0809,1782,0,11198
2021-07-02,Z (Dec 2021),22.2600,22.3000,21.8100,22.2500,22.2592,-0.0384,2703,0,11808
2021-07-06,Z (Dec 2021),22.2500,22.7200,22.1500,22.4500,22.4092,0.1500,4097,0,11726
2021-07-07,Z (Dec 2021),22.4500,22.8300,22.3100,22.4500,22.4519,0.0427,4293,15,11824
2021-07-08,Z (Dec 2021),22.5000,23.4000,22.4500,22.8500,22.8486,0.3967,5856,0,11372
2021-07-09,Z (Dec 2021),22.8500,22.9700,22.2800,22.6000,22.5762,-0.2724,4354,0,11916
2021-07-12,Z (Dec 2021),22.6000,22.7900,22.5300,22.6000,22.6958,0.1196,2790,0,11703
2021-07-13,Z (Dec 2021),22.5500,22.9800,22.4600,22.9500,22.9054,0.2096,2324,0,11718
2021-07-14,Z (Dec 2021),22.9500,23.1000,22.6500,22.9000,22.8974,-0.0080,3286,0,11845
2021-07-15,Z (Dec 2021),22.9000,23.3000,22.8000,22.8500,22.8241,-0.0733,3391,0,11863
2021-07-16,Z (Dec 2021),22.8700,23.2100,22.5000,23.0500,23.1226,0.2985,3246,0,12123
2021-07-19,Z (Dec 2021),23.1000,24.3000,23.1000,23.4500,23.9258,0.8032,10734,0,11565
2021-07-20,Z (Dec 2021),23.3500,23.9500,23.1500,23.5700,23.6272,-0.2986,6958,0,12083
2021-07-21,Z (Dec 2021),23.5500,23.7000,22.8500,22.9200,23.0046,-0.6226,6112,0,12230
2021-07-22,Z (Dec 2021),22.9000,22.9900,22.7000,22.7500,22.9088,-0.0958,4469,0,13081
2021-07-23,Z (Dec 2021),22.7300,22.8700,22.5500,22.8600,22.8018,-0.1070,3537,0,13815
2021-07-26,Z (Dec 2021),22.9000,23.2500,22.7000,22.8000,22.9337,0.1319,4024,0,14741
2021-07-27,Z (Dec 2021),22.8000,23.7000,22.8000,23.3200,23.2414,0.3077,5490,0,15738
2021-07-28,Z (Dec 2021),23.1300,23.4200,22.9000,23.1100,23.0144,-0.2270,3974,0,15887
2021-07-29,Z (Dec 2021),23.1300,23.2600,22.8000,23.0800,22.9004,-0.1140,2971,0,16249
2021-07-30,Z (Dec 2021),23.0800,23.5000,22.9300,23.1500,23.2722,0.3718,3701,0,17170
2021-08-02,Z (Dec 2021),23.1000,23.7000,22.8500,23.6500,23.6991,0.4269,3447,0,17636
2021-08-03,Z (Dec 2021),23.5500,23.8000,23.1600,23.3000,23.241,-0.4581,3203,0,17832
2021-08-04,Z (Dec 2021),23.3500,23.4500,23.0900,23.2500,23.2968,0.0558,2611,0,18116
2021-08-05,Z (Dec 2021),23.2500,23.2500,22.9500,23.0000,22.9995,-0.2973,3132,0,18841
2021-08-06,Z (Dec 2021),23.0500,23.1000,22.7000,22.8500,22.7611,-0.2384,2854,0,19656
2021-08-09,Z (Dec 2021),23.0500,23.0600,22.7500,22.8300,22.8833,0.1222,2599,0,19766
2021-08-10,Z (Dec 2021),22.8100,22.9500,22.5200,22.7800,22.80,-0.0833,2893,0,20011
2021-08-11,Z (Dec 2021),22.7900,22.9000,22.3000,22.4100,22.3583,-0.4417,4043,0,20476
2021-08-12,Z (Dec 2021),22.4500,22.5000,21.8700,21.9700,22.0513,-0.3070,4672,0,21385
